"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jae'Sean Tate","Hou","*","F","30.1","11","6.9","12.4","4.5","2","1","14","0.643","7","0.286","0.571","0.594","2.4","1.5","0.2","0.3","0","0.1","3.8","2.5","4","5.2","138.7","97.3"
"","Thomas Bryant","Cle","*","C-F","28.3","15","6.6","17.6","5","5","0.4","20","0.7","18","0.111","0.447","0.448","2.4","1.6","0.1","0.3","0.3","0.1","4","2.5","4.1","4.4","99.6","104.5"
"","Zeke Nnaji","Den","*","F-C","24.9","11","8.2","12.8","24.7","7","0.714","7","0.857","11","0.273","0.583","0.617","2.4","1.5","0.2","0.2","0.3","0.5","3.8","2.5","4","4.4","105","102.1"
"","Caleb Houstan","Atl","*","G","22.9","7","5.4","17.2","20.8","3","1","3","0.333","8","0.5","0.636","0.69","2.4","0.6","0.3","0.1","0.1","0.4","3","2.7","3.3","5.6","119.4","108.3"
"","Dwight Powell","Dal","*","F-C","34.4","17","10.5","8","24.6","23","0.783","18","0.611","0","0","0.611","0.711","2.4","2.1","0.9","0.6","0.2","0.4","4.5","3.3","5.4","6.3","147.1","95.1"
"","Gary Harris","Mil","*","G","31.2","14","12.8","8.3","15.4","4","1","13","0.462","14","0.429","0.556","0.591","2.4","1.3","1.2","0.9","0.1","0.4","3.7","3.6","4.9","4.9","122.5","114.5"
"","Javonte Cooke","Por","*","G","26.4","3","7.9","21.7","23.1","0","0","6","0.333","4","0.25","0.35","0.35","2.3","0.3","1","0.3","0","1","2.7","3.3","3.7","4.5","73.1","121.6"
"","Orlando Robinson","Orl","*","C","25.4","3","7.2","9.6","0","0","0","3","0.667","2","0.5","0.7","0.7","2.3","1","0.7","0.3","0","0","3.3","3","4","6.5","165.4","103.5"
"","Jeff Green","Hou","*","F","39.3","7","4.4","17.3","0","0","0","3","0.667","10","0.4","0.615","0.615","2.3","0.4","0","0","0.1","0","2.7","2.3","2.7","0","137.4","113.9"
"","Jalen Pickett","Den","*","G","26.1","8","6.8","15.3","20.6","1","1","8","0.5","7","0.429","0.567","0.583","2.3","0.9","0.9","0","0","0.5","3.1","3.1","4","7.2","111.4","114.9"
"","Cody Williams","Uta","*","F","21","11","12.8","11.9","10","3","0.333","18","0.5","18","0.111","0.333","0.335","2.3","0.9","0.5","0.3","0.2","0.4","3.2","2.8","3.7","3.2","76.7","114.7"
"","Dalen Terry","Chi","*","F","23.4","10","9","12.5","16.5","7","0.429","13","0.538","7","0.286","0.5","0.498","2.3","1.3","1.5","0.4","0.3","0.4","3.6","3.8","5.1","7.3","112.1","107.9"
"","Chris Boucher","Bos","*","F","32.9","8","11.3","11.7","4.3","4","0.75","10","0.6","12","0.083","0.341","0.379","2.3","2.3","0.4","0.6","0.9","0.1","4.5","2.6","4.9","4.5","92.4","96.7"
"","Lindy Waters III","San","*","F","28.3","9","7.8","10.3","0","0","0","1","1","16","0.375","0.588","0.588","2.2","1","0.6","0.1","0","0","3.2","2.8","3.8","5.6","136.2","108.6"
"","Jamir Watkins","Was","*","F","24.4","5","6.6","12.5","10.6","2","1","4","0.75","4","0.25","0.563","0.619","2.2","1.2","0","0","0.2","0.2","3.4","2.2","3.4","0","116.3","109.6"
"","Luke Travers","Cle","*","F","24.2","9","9.1","16.6","3.4","9","1","15","0.267","13","0.077","0.196","0.313","2.2","2","0.8","0.7","0.4","0.1","4.2","3","5","6.7","92.6","109.6"
"","Anthony Gill","Was","*","F","33.1","6","3","20.3","26.9","4","1","4","0.75","1","1","0.9","0.962","2.2","0.8","0","0","0","0.3","3","2.2","3","0","0","0"
